Rank,State,Vehicles per 1000 People
1,New York,539
2,New Jersey,665
3,Maryland,690
4,Mississippi,692
5,Utah,745
6,Massachusetts,747
7,California,755
8,Oklahoma,765
9,North Carolina,790
10,Connecticut,793
11,Florida,796
12,Texas,797
13,Georgia,798
14,Nevada,803
15,Arizona,823
16,Illinois,825
17,District of Columbia,830
18,Pennsylvania,829
19,Rhode Island,829
20,Maine,830
21,Louisiana,836
22,Michigan,836
23,South Carolina,850
24,Tennessee,851
25,Virginia,865
26,Hawaii,872
27,West Virginia,876
28,New Mexico,877
29,Oregon,896
30,Kansas,906
31,Ohio,910
32,Indiana,914
33,Colorado,919
34,Missouri,926
35,Arkansas,931
36,Kentucky,938
37,Washington,939
38,Wisconsin,948
39,Minnesota,963
40,New Hampshire,974
41,Delaware,1021
42,Nebraska,1046
43,Vermont,1047
44,Alaska,1105
45,Alabama,1113
46,Idaho,1122
47,Iowa,1165
48,North Dakota,1177
49,South Dakota,1262
50,Wyoming,1389
51,Montana,1594
